origin,n,avg_dep_delay
MIA,3580,22.203631284916202
IAH,3760,19.187234042553193
DFW,10379,18.98641487619231
SJU,1228,18.01872964169381
CLT,7291,17.9718831436017
PHL,3408,16.654929577464788
FLL,3136,16.597576530612244
PBI,1004,15.582669322709163
ORD,9406,15.383053370189241
MCO,5299,14.93017550481223
SFO,4462,14.882787987449575
OMA,802,14.85785536159601
BWI,3189,14.636876763875824
DAL,2494,14.377706495589415
AUS,2864,14.215432960893855
