op_unique_carrier,n,avg_dep_delay
AA,32824,20.440439922008288
F9,6882,19.29933158965417
B6,8000,16.077875
NK,8683,14.593228146953818
OH,7616,13.550814075630251
G4,3908,12.929119754350051
WN,47597,11.634598819253315
OO,24752,11.409057853910795
UA,25172,11.329334180835849
MQ,9184,10.844294425087108
DL,33860,10.468989958653278
9E,6623,9.254869394534198
AS,8384,7.5301765267175576
HA,2686,6.3901712583767685
YX,10010,4.004095904095904
