,share,minutes_total
late_aircraft_delay,0.4198321036225615,1400054
carrier_delay,0.35674876566625535,1189684
nas_delay,0.15836595652806246,528118
weather_delay,0.06338230685844257,211367
security_delay,0.0016708673246781287,5572
